Particle # ,      x (cm)      ,      y (cm)      ,      z (cm)      ,  n_H (c^m-3)  ,   T_gas (K)   ,  T_dust (K)   , chi (Draine)  , Type (I|P|D)
       625 , -2.786860961E+19 , +1.175795628E+18 , +3.872414402E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       626 , +1.008910454E+19 , +1.056333617E+19 , -2.260727923E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       627 , -2.051782493E+19 , -1.296714388E+19 , +4.919640950E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       628 , -1.546322569E+19 , -1.567841160E+19 , +3.518166262E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       629 , -4.584295671E+18 , -3.353101020E+17 , -2.804236412E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       630 , +2.670686430E+19 , +8.434619707E+18 , -5.709830547E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       631 , +2.755673091E+19 , +7.702002684E+18 , +5.266116268E+17 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       632 , -1.428414197E+19 , -1.372860890E+19 , -1.401809175E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       633 , -7.058601860E+18 , +1.172376389E+18 , -3.792807004E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       634 , +1.852129273E+18 , +3.001196761E+19 , +2.152310477E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       635 , +2.515323485E+19 , +2.637166097E+18 , -6.569420120E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       636 , -1.851359396E+19 , +1.008370151E+19 , -3.969276910E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       637 , -7.860547889E+18 , -7.488908869E+18 , -1.374238645E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       638 , -1.911625767E+19 , +7.897085398E+18 , +4.366925107E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       639 , +4.651554187E+18 , +8.949468113E+18 , +4.471896776E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       640 , -1.154114422E+19 , -2.223627586E+18 , -9.141724346E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       641 , +9.948030438E+18 , +5.118105567E+18 , -1.602768254E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       642 , +1.325833311E+19 , -1.054246464E+19 , +9.646467158E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       643 , +1.385758097E+19 , -1.806579116E+19 , +1.841211219E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       644 , +9.479914620E+17 , -2.749477050E+19 , -4.753273552E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       645 , +1.050922264E+19 , -2.801084701E+19 , -5.385751077E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       646 , +1.103110330E+19 , -1.619911353E+19 , +1.515477827E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       647 , -1.665895665E+19 , -2.234017062E+19 , -1.069522729E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       648 , -9.722448886E+18 , +2.498706494E+19 , +1.146018221E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       649 , -9.175904398E+18 , -1.601733935E+19 , -1.059944785E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       650 , -1.126508407E+19 , +1.260711626E+19 , -2.473699236E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       651 , -4.490401585E+18 , +4.908726908E+18 , -3.713187263E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       652 , -8.085080311E+18 , +2.330200721E+19 , -3.957989501E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       653 , -2.545115703E+19 , -1.281079876E+19 , +1.044972151E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       654 , -2.005689874E+19 , +1.686569706E+19 , -8.906351939E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       655 , +1.836696564E+19 , +1.129767191E+19 , -1.679989806E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       656 , +2.697106311E+19 , -9.930997497E+18 , +9.233196176E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       657 , -1.359141659E+19 , +2.092505724E+19 , -4.182747178E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       658 , -2.319589693E+19 , +9.266663436E+17 , +1.057538265E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       659 , -1.976456781E+19 , +4.271432640E+18 , -1.941243644E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       660 , -1.031247366E+19 , +7.332128672E+18 , -1.868786378E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       661 , -3.178649147E+18 , -2.647217383E+19 , +6.876367907E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       662 , +7.071376565E+18 , +1.179541332E+19 , -8.055309692E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       663 , +1.844262029E+19 , +1.339297974E+19 , -1.265507387E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       664 , +1.295888969E+19 , -2.374339489E+19 , +6.909770368E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       665 , +1.236875383E+19 , -4.439012709E+18 , -2.968400327E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       666 , -4.272768738E+18 , +1.145753779E+19 , -8.891731998E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       667 , -1.546058127E+19 , +2.893501981E+18 , +1.083381433E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       668 , +1.530771988E+19 , -1.328122884E+19 , +1.031903381E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       669 , +8.059790096E+18 , +2.446064524E+19 , +1.745213936E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       670 , +2.026257458E+19 , -7.742890999E+18 , +2.076165826E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       671 , -1.407036930E+19 , -2.189285227E+19 , -1.581280829E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       672 , -1.573744370E+19 , +4.926858350E+18 , -1.535779426E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       673 , +7.627687223E+18 , -1.146911525E+19 , +1.832743503E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       674 , +7.634003605E+18 , -1.238294487E+19 , -2.360984367E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       675 , -8.965843804E+18 , +8.730218371E+18 , -1.094701241E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       676 , +2.475852422E+19 , +1.136812719E+19 , +9.714759377E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       677 , -1.540725150E+19 , -1.128823282E+19 , -1.683323881E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       678 , -6.091602932E+18 , -1.781827353E+19 , +2.230929533E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       679 , +2.611387420E+18 , -4.021998799E+18 , +2.063908898E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       680 , +1.852715552E+19 , -1.763131232E+18 , +6.624598209E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       681 , +5.187894339E+18 , -4.925111856E+18 , +1.164956568E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       682 , -3.337601661E+18 , -2.579655853E+19 , +1.455864385E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       683 , -1.648352970E+19 , -2.156168192E+19 , -1.172724762E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       684 , -8.614301804E+18 , -6.483440797E+18 , +3.611936921E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       685 , +2.327054256E+19 , -3.760299389E+18 , +3.969881703E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       686 , -1.308272719E+19 , -2.598151097E+19 , +7.199426018E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       687 , +5.054164154E+18 , +9.202274600E+18 , -1.260017040E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       688 , +5.427481782E+18 , -2.252469106E+19 , -1.101043543E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       689 , -1.115394722E+19 , -9.843731447E+18 , +1.620696658E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       690 , -1.409387291E+19 , +2.120959375E+19 , +1.733141839E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       691 , -5.984381804E+18 , -2.148067362E+19 , -7.515772779E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       692 , -1.281064756E+19 , -1.172676934E+19 , +9.858959266E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       693 , +1.073564041E+19 , +7.071401251E+18 , +2.327091284E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       694 , -1.732125725E+19 , +8.842388926E+18 , -1.894807281E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       695 , +1.063077057E+19 , +1.186496758E+19 , +2.550811247E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       696 , +2.260752917E+19 , -1.084845896E+19 , +9.915782020E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       697 , -1.183645283E+19 , -2.450795793E+19 , -1.267519557E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       698 , +1.267969757E+19 , -2.178524235E+19 , -5.166649448E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       699 , -2.607451946E+18 , +1.105378921E+19 , -9.808866375E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       700 , -1.498027702E+18 , -2.019663365E+19 , -1.980246919E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       701 , +4.073501845E+18 , +1.106085849E+19 , +1.184896526E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       702 , -6.831014617E+18 , -1.156689112E+19 , +1.187895496E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       703 , +3.996961610E+18 , +2.144386457E+19 , +1.905560250E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       704 , -1.072933328E+19 , -5.235083607E+18 , -2.014340571E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       705 , +1.297429339E+19 , -6.963492017E+18 , -2.528109916E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       706 , -2.717564971E+19 , +1.188330885E+19 , -3.489879855E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       707 , -7.661972187E+18 , -2.814713522E+19 , -9.600382562E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       708 , -1.783098960E+19 , -1.191798878E+19 , -1.164504825E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       709 , -2.127894436E+19 , +1.985433017E+19 , +9.487385046E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       710 , -1.237470919E+19 , +2.153497846E+19 , -1.308198663E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       711 , -1.615136020E+17 , +2.831687526E+19 , -9.392318402E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       712 , -2.358069945E+19 , -1.834690380E+16 , +1.182954400E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       713 , +2.141130759E+19 , +1.816720813E+19 , +1.180887613E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       714 , -1.004797554E+19 , +4.420202418E+17 , +1.798012966E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       715 , +6.249083578E+18 , +5.140007707E+18 , +1.227245292E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       716 , -1.780856290E+19 , -4.145348764E+18 , -8.343826727E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       717 , -1.878653450E+19 , -7.275450944E+18 , +1.048230936E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       718 , -1.349974727E+19 , -1.920847932E+19 , -9.541023381E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       719 , +1.574950870E+19 , +1.069533529E+19 , +5.245488513E+17 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       720 , +5.144105487E+18 , +8.136429073E+18 , +1.767703897E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       721 , +8.916713644E+18 , -3.507412675E+18 , +8.103353694E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       722 , -1.456641976E+19 , +2.538371646E+18 , -3.286351641E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       723 , -2.073930870E+18 , +2.515688521E+18 , +8.891849254E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       724 , -4.013581070E+18 , -8.460869567E+18 , -1.853248140E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       725 , -1.566682179E+19 , -7.880577022E+18 , +1.151443768E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       726 , +1.688655007E+19 , +6.193961032E+18 , -1.905769151E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       727 , -2.196480410E+19 , +3.014113716E+18 , +9.989825942E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       728 , -1.263650426E+19 , +3.522356612E+18 , +6.823118368E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       729 , +2.414151211E+19 , -1.174115168E+19 , -1.158054833E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       730 , +5.348272436E+18 , +2.172308137E+19 , +2.298425338E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       731 , +8.907684952E+18 , -6.629121812E+18 , -4.781371733E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       732 , -7.007111156E+18 , +2.549370235E+19 , -2.376474778E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       733 , +2.981907572E+19 , -5.585051913E+17 , +5.756368737E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       734 , -4.014003808E+18 , +4.022066684E+18 , -1.557265925E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       735 , +2.116644055E+19 , -6.666208572E+18 , +4.044166307E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       736 , +1.635130533E+19 , -1.847215948E+19 , -6.243128220E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       737 , +1.115048200E+19 , +8.186025170E+18 , -1.804234618E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       738 , -1.294503808E+19 , +1.864918173E+18 , -1.267018134E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       739 , +3.110073046E+18 , +1.074358294E+19 , -1.903960018E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       740 , +7.893536869E+18 , +9.307360439E+18 , -2.229565972E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       741 , -4.606330495E+18 , -9.702287068E+17 , -2.950263948E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       742 , +8.084416890E+18 , -1.779306539E+16 , +2.374806043E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       743 , +2.548341779E+18 , +2.744280152E+19 , -4.859214124E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       744 , +8.741305211E+17 , +1.307806782E+18 , +1.816462542E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       745 , -9.809792078E+18 , -1.465035945E+19 , -1.304841137E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       746 , -6.922563588E+18 , -2.034117605E+19 , +2.149865386E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       747 , -2.352133101E+18 , -1.199829663E+19 , -2.617128323E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       748 , +1.438429998E+19 , -1.034774604E+19 , -1.684647328E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       749 , +7.909665706E+18 , +2.136449477E+19 , -3.458060346E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       750 , +2.719728649E+18 , -1.918732083E+19 , +4.312376497E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       751 , +2.439395140E+19 , -1.293312428E+19 , +7.027353202E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       752 , +1.400303673E+19 , +8.693396979E+17 , +4.372312700E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       753 , +2.965246764E+19 , +5.430684715E+18 , -6.048523786E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       754 , -1.826541908E+19 , +8.346927833E+18 , +5.397140313E+17 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       755 , -4.349608284E+18 , -7.936717842E+18 , -5.493354829E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       756 , -8.341777837E+18 , +2.190982041E+19 , -1.045782142E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       757 , +1.763383331E+19 , +1.280880850E+19 , +1.698456662E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       758 , -7.468028088E+18 , -1.073433517E+19 , +2.241099927E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       759 , -9.125941105E+18 , -2.361985978E+19 , -6.951957753E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       760 , -9.171655420E+18 , -2.288993039E+19 , +1.507867620E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       761 , +2.877931035E+18 , -2.904101284E+19 , +3.532955915E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       762 , -1.192255867E+19 , +2.131268933E+19 , +1.067191499E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       763 , +9.452195977E+18 , -3.483504845E+18 , +4.561566569E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       764 , +1.785568428E+19 , +1.896049575E+19 , +7.067195472E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       765 , -9.018146041E+18 , -7.135901171E+18 , -2.295723827E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       766 , +1.794593727E+19 , +3.950809129E+18 , -1.072869455E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       767 , -1.811291872E+19 , -2.055008877E+19 , +9.373094630E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       768 , +2.115722363E+19 , -9.336310267E+17 , -1.556902432E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       769 , +1.225809526E+19 , +1.307540179E+19 , -1.589223980E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       770 , +1.393535239E+19 , -1.696269842E+19 , +2.125373128E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       771 , -2.060083891E+18 , -1.714902089E+19 , -1.949439513E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       772 , +1.171397303E+19 , +6.466478827E+18 , -2.055450438E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       773 , -9.383616791E+18 , +1.079569695E+19 , +4.526803324E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       774 , -1.648393393E+19 , -2.024759671E+19 , -9.853889498E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       775 , -1.655594130E+19 , -1.749724888E+19 , +1.200809983E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       776 , +4.920282771E+18 , +2.107109619E+19 , +1.813969931E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       777 , +2.265927598E+19 , -1.742791370E+19 , -4.231411400E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       778 , -7.257300988E+18 , -1.640565954E+19 , -1.689987711E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       779 , -3.228161931E+18 , +2.593627802E+18 , +1.488795663E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       780 , +5.924356116E+18 , +2.868161470E+19 , -9.406494005E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       781 , -1.978116567E+19 , +1.178735045E+19 , -9.309526584E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       782 , -6.553525795E+18 , -2.319711268E+19 , +9.426615709E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       783 , -1.068095911E+19 , -2.318462803E+19 , -5.280696095E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       784 , +2.277002404E+19 , +1.682290488E+19 , +6.291508560E+17 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       785 , +1.440382306E+19 , -1.277962725E+19 , -1.183344430E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       786 , -8.166304604E+18 , -1.699897056E+19 , +2.233958434E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       787 , -2.439205062E+18 , -1.658307367E+19 , -1.735663146E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       788 , +2.555918969E+19 , -1.289800618E+19 , -3.819303718E+17 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       789 , -5.844396950E+18 , +1.227200550E+19 , -9.874869020E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       790 , -1.305610088E+19 , +2.235464245E+19 , -1.527520610E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       791 , +7.364975711E+18 , -1.425846296E+18 , +2.853169705E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
