Particle #,x (cm),y (cm),z (cm),n_H (cm-3),T_gas (K),T_dust (K),chi (Draine),Type (I|P|D)
110,+1.9561682E+18,-1.1130545E+19,-1.1130545E+19,1.0005000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
111,+1.9563272E+18,-1.1130545E+19,-1.1130545E+19,1.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
112,-1.9563272E+18,-9.5404675E+18,-1.1130545E+19,1.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
113,-1.9561682E+18,-9.5404675E+18,-1.1130545E+19,1.0005000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
114,-1.9560093E+18,-9.5404675E+18,-1.1130545E+19,1.0010000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
115,-1.9558505E+18,-9.5404675E+18,-1.1130545E+19,1.0015000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
116,-1.9556918E+18,-9.5404675E+18,-1.1130545E+19,1.0020000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
117,-1.9555331E+18,-9.5404675E+18,-1.1130545E+19,1.0025000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
118,-1.9553746E+18,-9.5404675E+18,-1.1130545E+19,1.0030000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
119,-1.9552161E+18,-9.5404675E+18,-1.1130545E+19,1.0035000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
120,-1.9550577E+18,-9.5404675E+18,-1.1130545E+19,1.0040000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
121,-1.9548993E+18,-9.5404675E+18,-1.1130545E+19,1.0045000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
122,-1.9547411E+18,-9.5404675E+18,-1.1130545E+19,1.0050000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
123,-1.9531628E+18,-9.5404675E+18,-1.1130545E+19,1.0100000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
124,-1.9515924E+18,-9.5404675E+18,-1.1130545E+19,1.0150000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
125,-1.9500296E+18,-9.5404675E+18,-1.1130545E+19,1.0200000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
126,-1.9484746E+18,-9.5404675E+18,-1.1130545E+19,1.0250000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
127,-1.9469270E+18,-9.5404675E+18,-1.1130545E+19,1.0300000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
128,-1.9453870E+18,-9.5404675E+18,-1.1130545E+19,1.0350000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
129,-1.9438544E+18,-9.5404675E+18,-1.1130545E+19,1.0400000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
130,-1.9423291E+18,-9.5404675E+18,-1.1130545E+19,1.0450000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
131,-1.9408112E+18,-9.5404675E+18,-1.1130545E+19,1.0500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
132,-1.9260197E+18,-9.5404675E+18,-1.1130545E+19,1.1000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
133,-1.9118857E+18,-9.5404675E+18,-1.1130545E+19,1.1500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
134,-1.8983531E+18,-9.5404675E+18,-1.1130545E+19,1.2000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
135,-1.8853729E+18,-9.5404675E+18,-1.1130545E+19,1.2500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
136,-1.8729017E+18,-9.5404675E+18,-1.1130545E+19,1.3000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
137,-1.8609011E+18,-9.5404675E+18,-1.1130545E+19,1.3500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
138,-1.8493369E+18,-9.5404675E+18,-1.1130545E+19,1.4000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
139,-1.8381785E+18,-9.5404675E+18,-1.1130545E+19,1.4500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
140,-1.8273983E+18,-9.5404675E+18,-1.1130545E+19,1.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
141,-1.7365367E+18,-9.5404675E+18,-1.1130545E+19,2.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
142,-1.6658666E+18,-9.5404675E+18,-1.1130545E+19,2.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
143,-1.6080456E+18,-9.5404675E+18,-1.1130545E+19,3.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
144,-1.5591201E+18,-9.5404675E+18,-1.1130545E+19,3.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
145,-1.5167180E+18,-9.5404675E+18,-1.1130545E+19,4.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
146,-1.4793044E+18,-9.5404675E+18,-1.1130545E+19,4.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
147,-1.4458291E+18,-9.5404675E+18,-1.1130545E+19,5.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
148,-1.4155419E+18,-9.5404675E+18,-1.1130545E+19,5.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
149,-1.3878884E+18,-9.5404675E+18,-1.1130545E+19,6.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
150,-1.2008204E+18,-9.5404675E+18,-1.1130545E+19,1.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
151,-1.0830368E+18,-9.5404675E+18,-1.1130545E+19,1.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
152,-9.9708666E+17,-9.5404675E+18,-1.1130545E+19,2.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
153,-9.2942377E+17,-9.5404675E+18,-1.1130545E+19,2.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
154,-8.7363156E+17,-9.5404675E+18,-1.1130545E+19,3.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
155,-8.2616655E+17,-9.5404675E+18,-1.1130545E+19,3.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
156,-7.8486582E+17,-9.5404675E+18,-1.1130545E+19,4.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
157,-7.4831231E+17,-9.5404675E+18,-1.1130545E+19,4.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
158,-7.1552720E+17,-9.5404675E+18,-1.1130545E+19,5.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
159,-5.0630642E+17,-9.5404675E+18,-1.1130545E+19,1.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
160,-3.8010976E+17,-9.5404675E+18,-1.1130545E+19,1.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
161,-2.8976442E+17,-9.5404675E+18,-1.1130545E+19,2.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
162,-2.1940699E+17,-9.5404675E+18,-1.1130545E+19,2.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
163,-1.6179547E+17,-9.5404675E+18,-1.1130545E+19,3.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
164,-1.1302008E+17,-9.5404675E+18,-1.1130545E+19,3.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
165,-7.0730771E+16,-9.5404675E+18,-1.1130545E+19,4.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
166,-3.3404998E+16,-9.5404675E+18,-1.1130545E+19,4.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
167,+0.0000000E+00,-9.5404675E+18,-1.1130545E+19,5.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
168,+3.3404998E+16,-9.5404675E+18,-1.1130545E+19,4.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
169,+7.0730771E+16,-9.5404675E+18,-1.1130545E+19,4.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
170,+1.1302008E+17,-9.5404675E+18,-1.1130545E+19,3.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
171,+1.6179547E+17,-9.5404675E+18,-1.1130545E+19,3.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
172,+2.1940699E+17,-9.5404675E+18,-1.1130545E+19,2.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
173,+2.8976442E+17,-9.5404675E+18,-1.1130545E+19,2.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
174,+3.8010976E+17,-9.5404675E+18,-1.1130545E+19,1.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
175,+5.0630642E+17,-9.5404675E+18,-1.1130545E+19,1.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
176,+7.1552720E+17,-9.5404675E+18,-1.1130545E+19,5.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
177,+7.4831231E+17,-9.5404675E+18,-1.1130545E+19,4.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
178,+7.8486582E+17,-9.5404675E+18,-1.1130545E+19,4.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
179,+8.2616655E+17,-9.5404675E+18,-1.1130545E+19,3.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
180,+8.7363156E+17,-9.5404675E+18,-1.1130545E+19,3.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
181,+9.2942377E+17,-9.5404675E+18,-1.1130545E+19,2.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
182,+9.9708666E+17,-9.5404675E+18,-1.1130545E+19,2.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
183,+1.0830368E+18,-9.5404675E+18,-1.1130545E+19,1.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
184,+1.2008204E+18,-9.5404675E+18,-1.1130545E+19,1.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
185,+1.3878884E+18,-9.5404675E+18,-1.1130545E+19,6.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
186,+1.4155419E+18,-9.5404675E+18,-1.1130545E+19,5.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
187,+1.4458291E+18,-9.5404675E+18,-1.1130545E+19,5.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
188,+1.4793044E+18,-9.5404675E+18,-1.1130545E+19,4.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
189,+1.5167180E+18,-9.5404675E+18,-1.1130545E+19,4.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
190,+1.5591201E+18,-9.5404675E+18,-1.1130545E+19,3.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
191,+1.6080456E+18,-9.5404675E+18,-1.1130545E+19,3.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
192,+1.6658666E+18,-9.5404675E+18,-1.1130545E+19,2.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
193,+1.7365367E+18,-9.5404675E+18,-1.1130545E+19,2.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
194,+1.8273983E+18,-9.5404675E+18,-1.1130545E+19,1.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
195,+1.8381785E+18,-9.5404675E+18,-1.1130545E+19,1.4500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
196,+1.8493369E+18,-9.5404675E+18,-1.1130545E+19,1.4000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
197,+1.8609011E+18,-9.5404675E+18,-1.1130545E+19,1.3500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
